127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:43 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:44:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 200 6525
127.0.0.1 - - [25/Oct/2014:16:44:06 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:44:06 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 200 3500
127.0.0.1 - - [25/Oct/2014:16:44:06 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 200 3454
127.0.0.1 - - [25/Oct/2014:16:44:06 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:44:13 +0530] "GET /minorProjectWithInder7thSem2/Serv3 HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:44:13 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 3960
127.0.0.1 - - [25/Oct/2014:17:49:09 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:17:49:09 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:17:49:09 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:17:49:09 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:17:49:09 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
